herkunftId,bemerkung
712,"Lesung unsicher (Hausruckviertel, Oberösterreich ?)
Waren passen zu Frankenburg. Siehe auch die Einträge zu Frankeburg in der Krems-Datenbank.
Siehe auch die zahlreichen Erwähnungen zum Leinengewerbe bei Alfred Marks, Das Leinengewerbe und der Leinenhandel im Lande ob der Enns von den Anfängen bis in die Zeit Maria Theresias. Jahrbuch des Oberösterreichischen Musealvereins 95 (1950) 169–286."
91,"Wohl identisch mit ""Scharnstein"". Siehe 1710 Dezember 17, pag. 1105 - Eintrag ""Scharn"" mit Ergänzung.

Evtl. aber auch Scharten? Vielen nahe zu ""vonder Au"" und Eferding!!!"
116,"Hochdorf, heute Teil von Duggendorf an der Naab (ehemals Pfalz-Neuburg, heute Bayern).
Sicher für Franz Paur, dieser kommt auch aus allen umliegenden Orten!
Auch Üblackers transportieren nur Holz. Zum Holzexport von der Naab nach Österreich siehe Loehr, Donauhandel, 161.
"
117,Wahrscheinlich Teublitz (Pfalz-Neuburg)
121,"Alle Personen/Familien, die in den AMP nun N. zugeordnet wurden, können in den Matriken von N. nachgewiesen werden und scheinen zumeist auch zahlreich unter Orten in der Umgebung von N. bzw. entlang des Inns in den AMP auf.

Ebenso sprechen die häufigen Kalk-Lieferungen, die zumeist aus dieser Region kommen, dafür."
785,(evt. Clerf/Clerveau im Ghzgt. Luxemburg ?)
125,Landsberg am Lech
127,"Pleinting bei Vilshofen in Niederbayern. Evtl. Plattling, wahrscheinlich aber nicht. Siehe: Der heutige Landkreis Deggendorf in der ethnographischen Beschreibung von J. F. Lentner, S. 97 (http://www.geschichtsverein-deggendorf.de/docs/gbl_04/gbl_0
Nochmals recherchieren und mit ""Plattling"" abstimmen."
129,Heute Ober- bzw. Niederaudorf (am Inn).
743,Luftenberg an der Donau
745,Der Ort wurde noch bis in das 18. Jhdt. Münster genannt (Wikipedia)
774,"""Die Kirche wurde im 14. Jht. als ""Kapelle am Perg"" errichtet, erst später wurde sie zur Annakirche. In der Zeit der Glaubensspaltung spielte das Kirchlein eine bedeutende Rolle. 1734 brannte das Kirchlein durch Brandstiftung ab, und wurde neu gebaut. Die letzte Restaurierung fand 1987/90 statt.""
https://www.geocaching.com/geocache/GC7BYKQ_annaberg-kirche?guid=cc8acaf6-5bc8-4798-a8ba-f00a658a1d6c
(leider unzitierbare Seite)
Zitierbar:
(GRÜLL) https://www.zobodat.at/pdf/JOM_110_0267-0299.pdf
"
1152,"OT von Pupping. Im Kataster noch als ""Alta"". Die Person kommt sonst auch aus dem nahen Eferdig.
"
134,Heute Bayern.
136,Hohenaschau in Bayern (bei Prien im Chiemgau) mit Verkehrsanbindung über LAnd nach Kufstein an den Inn.
137,Eich ist heute ein Ortsteil der Gemeinde Kallmünz/Opf.
706,"Gemeinde im Bezirk Eferding, Hausruckviertel, oberhalb von Aschach."
552,Reichsstift in der Gemeinde Obermarchtal.
4,"In Quelle in der Regel ""alhier"" etc.
1652, Eggersdorfer Johann, auch ""im Orth"". Es ist anzunehmen, dass damit auch Aschach gemeint ist. Der Name Eggersdorfer ist bis heute in Aschach verbreitet."
553,Marktl (am Inn).
975,"Gemeinde Haibach, Landkreis Straubing-Bogen. 
Eschbernzell ist die alte Bezeichnung (davor auch Atzenzell), die heute noch für Geschäfte etc. verwendet wird."
146,Noch bearbeiten!
152,Bayern (bei Bogen)
156,"Wahrscheinlich Alkofen, heute ein Teil von Vilshofen in Bayern und nicht nicht Alkoven bei Eferding. Dies ergibt sich daraus, dass die Fahrten immer stromabwärts, teilweise auch mit dem Floß gehen."
880,"Im Tal der Kleinen Mühl, Oberösterreich, ca. 5 km flussaufwärts von Obermühl gelegene historische Mühle. Hier auch als Ortsbezeichnung gebraucht, aber kein Ort/Dorf/Stadt im herkömmlichen Sinn."
161,Heute Stadtteil von Passau
163,Unklar. Ident mit Scharnstein (Oberösterreich)?
164,Unklar
794,"In der Nähe von Dillingen. Bis 1806 gehörig zum Deutschen Orden, Ballei Franken."
169,OT von Laaber.
170,"Györ
Auch die beiden Personen Johann Feyer und Andre Posch hier belassen, da Markt Raab in Oberösterreich=Innbaiern ausscheidet. D.h. keinerlei Hinweis auf die beiden Personen in den Matriken von Raab/Oberösterreich (trotz Leinen und Rupfen)."
171,"Schwarzenberg am Böhmerwald, Oberösterreich. Die Zuordnung ergibt sich aus dem transportierten Glas. Das Stift Schlägl errichtete 1638 dort die erste Glashütte ""Sonnenschlag"", später noch zwei weitere.
Siehe auch ""Schläglhütte""."
122,"Wahrscheinlich heute Teil von Hofkirchen (Mühlkreis) 
oder Markt Falkenstein in der Oberpfalz: https://de.wikipedia.org/wiki/Falkenstein_(Oberpfalz)

Siehe auch Falkenstein (Flintsbach) als OT von Flintsbach in Bayern (dies gilt für Familie Labeck!)

Falkenstein in NÖ scheidet aus, da keine der Familien in den Matriken aufscheint.

"
175,"Reichsgrafschaft Neuburg (unter öster. Landeshoheit), 1730/39 beim Hochstift Passau, heute Bayern (ab 1803).
Bis 1803 aber unter der formellen Landeshoheit Österreichs bzw. dem Land ob der Enns zuzuordnen.

"
177,"Bayern, bei Burglengenfeld"
2,"Reichsstadt bis 1806.
"
180,"Heute Teil von Passau. 
Achtung es gibt auch ein St. Nikola an der Donau in Oberösterreich! https://de.wikipedia.org/wiki/St._Nikola_an_der_Donau
ABER: Alle Personen (1706-1740) überprüft, sie gehören alle nach BAYERN!
Können einfach über die Matriken identifiziert werden: https://data.matricula-online.eu/de/deutschland/passau/passau-stnikola/
Auch Gegenprobe in St. Nikola an der Donau gemacht: https://data.matricula-online.eu/de/oesterreich/oberoesterreich/st-nikola-an-der-donau/
Kein Ergebnis!"
181,Unklar. Ungarn? - unwahrscheinlich! -> auch Neutrau!
185,"H. könnte zwar die veraltete Form von Interlaken sein (vgl. dazu: FETZER, Aspekte, 82-84), jedoch wäre dies ein sehr ungewöhnlicher Ort für den Bezug von Pferden. Häufig kommen Pferde in den AMP aus dem Inn-Salzach Gebiet. Der Name könnte daher auch eine historische Variante zu Hinterlohen oder Hinterlohn sein. Mehrere dieser Orte finden sich im bayerischen Raum. Jedoch konnten keine Belege für eine Übereinstimmung von Person und Ort gefunden werden."
186,"Heute Ortsteil der Gemeinde Neuhaus am Inn. Bedeutende Klosteranlage, Gründung der ""Formbacher""."
318,Heute Oberösterreich.
319,"Auf dem Aschach gegenüberliegenden Donauufer gibt es ein Bergheim, aber auch eines in Bayern gegenüber von Neuburg an der Donau! Evtl. auch Bergheim in Salzburg. -> Entsprechende Personen aufteilen.
Auch eine Herrschaft Bergheim.
Zu den Fiegern siehe: http://members.kabsi.at/seeau/Encyclopaedia/LinienMuetter/Familie-Fieger-Hirschberg.htm
Zur Brauerei siehe: https://brautopo.webnode.at/oberoesterreich/"
189,"Evtl. handelt es sich auch hierbei um Hagen (bei Linz). Da die Matriken der Pfarre Pöstlingberg, zu welcher Hagen bei Linz gehörte, erst mit 1750 beginnen und eine Vorpfarre nicht eruiert werden konnte, können die in den AMP genannten Personen nicht überprüft werden. Aus einem Verzeichnis(?) der zur Herrschaft Hagen bei Linz gehörenden Häuser geht jedoch hervor, dass 1750 drei Häuser von Schiffknechten (""Schöffknecht"") bewohnt waren. Allerdings ist H. (wie auch Haag) ein zu unspezifischer Ortsname, um den Ort dadurch als identifiziert ansehen zu können. Zur Nennung der Schniffknechte siehe ASPERNIG, Hagen, 66."
455,"Vermutlich Göttweig.
Indiz hierfür: den Zimmerleuten nach Köttwein (1718/08/26) folgt 1719/03/13 einiges Bauholz zum Kloster Göttweig."
195,"Landstrich, siehe Schiffmann: https://digi.landesbibliothek.at/viewer/image/AC00925972/496/
Region Oberösterreich, kommt auch in den Kirchenmatriken der Pfarre Hartkirchen in OÖ vorkommt.
Eindeutig für Familien: Prock, Prodl, Stockinger; für den Rest siehe das unbestimmte Wald."
196,"Bei Feldkirchen an der Donau. In Ober- und Unterlandshaag geteilt. Die Donaulände war eher in Oberlandshaag, direkt gegenüber von Aschach. Siehe den katasterplan in mapire.
https://mapire.eu/de/map/cadastral/?layers=3%2C4&bbox=1559799.4604181391%2C6167163.350254876%2C1563427.830604551%2C6168118.81310844
Siehe auch https://mapire.eu/de/map/firstsurvey-upper-austria/?layers=143&bbox=1555143.3484675053%2C6165452.741847884%2C1569656.8292131533%2C6169274.593262143
vor der Teilung."
31,"St. Georgen an der Gusen (bei Linz). St. Georgen im Attergau ist auszuschließen, da alle genannten Personen auch in der Umgebung von St. Georg an der Gusen verortet werden können. Auch der sonst nur schwer zuordenbare Pfarrer von St. Georgen gehört hierher, da der für ihn Hausrat transportierende Georg Viechtbauer aus dem benachbarten Langenstein stammt."
197,"Weiler an der Naab. 
Siehe A. Eisenmann, C. F. Hohn, Topo-Geographisch-statistisches Lexicon vom Königreiche Bayern, Bamberg 1831, S. 262.
https://reader.digitale-sammlungen.de/de/fs1/object/display/bsb10801576_00278.html?zoom=0.7000000000000002"
198,"Burg bei Hallein, Salzburg"
199,"Auch die Personen, die unter Kapl etc. vorkommen, können in den Matrikelbüchern von Niederkappel gefunden werden bzw. kommen aus umliegenden Orten. Oberkappel ist daher auszuschließen und der Name wurde auf Niederkappel normiert."
376,"Region dürfte wohl Bayern sein, wenn Reuting identisch mit dem heutigen Ortsteil Reuting von Nittenau ist: https://de.wikipedia.org/wiki/Nittenau
Historisch wäre R. dann jedoch Pfalz-Neuburg! siehe die Karte von Reilly: https://upload.wikimedia.org/wikipedia/commons/4/47/Reilly_164.jpg
Windorf, wo auch ein Neustifter herkommt, besitzt keinen OT Reuting / Reutting.
Möglich wäre jedoch auch ""Reiting"" OT von Bernhardswald! Das wäre dann im Herzogtum Bayern gelegen."
200,"heute Stadtteil von Passau, Bayern"
201,"Ehemaliges Dorf im heutigen Stadtgebiet von Linz, das für die Hermann-Göring-Werke beseitigt wurde. Sitz des Salzamtes."
203,"Die Identifizierung als Hohenfurch bei Schongau ergibt sich aus der Ladung bzw. der alternativen Herkunft einiger der Schiffmeister aus Schongau.
H. war ein  zweigeteilter Ort. Das sog. ""Oberdorf"" von H. gehörte direkt zum Hochstift Augsburg; das sog. ""Unterdorf"" stand unter der Herrschaft des Klosters St. Mang in Füssen, das seinerseits wiederum zum Hochstift Augsburg gehörte. 1785 kamen beide Ortsteile von H. an das Herzogtum Bayern.
Die (historische) Zuordnung zum Hochstift Augsburg (bis 1785) gilt daher streng genommen nur für das sogenannte ""Oberdorf"" von H.; 1785 kamen beide Ortsteile von H. an das Herzogtum Bayern."
204,"Abgekommener Ort.
Genau zu lokalisieren im Katasterplan: https://mapire.eu/en/map/cadastral/?bbox=1544079.67202429%2C6180512.227393562%2C1547708.0422107019%2C6181706.555960517&layers=here-aerial%2C3
D.h. am gegenüberliegenden Ufer von Grafenau!"
205,"OT von Ruhstorf an der Rott.

Alle anderen Kleeberg scheiden aus, da es nur hier eine Beziehung zur genannten Person, Baron Kaiserstein, gibt:
https://books.google.at/books?id=c_dSAAAAcAAJ&pg=PA217&lpg=PA217&dq=Treffelstein+Kaiserstein&source=bl&ots=ur2eS6HGcO&sig=ACfU3U1WXHVtiuokK7X1lFnR9lwwAVvjpQ&hl=de&sa=X&ved=2ahUKEwj4l5uy6crrAhVEy6QKHREeDHYQ6AEwDXoECAEQAQ#v=onepage&q=Treffelstein%20Kaiserstein&f=false
sowie:
https://www.gda.bayern.de/findmitteldb/Archivalie/122312/"
208,Bayern
422,"Waldhausen im Strudengau/OÖ; Kloster ""Balthaußen"" (diese Schreibform auch in den KWNB), also OÖ"
211,Heute Teil von Kallmünz/Opf.
212,OT von Duggendorf.
213,"Drei Orte bzw. OTe kommen in Frage:
OT von Prien am Chiemse
OT von Ort im Innkreis
OT von Peterskirchen
In keiner der Matriken konnte ein eindeutigen Beleg für Johann Rois (oder eine Familie Rois/Reuß etc.) gefunden werden, der in den AMP genannt ist. Ort im Innkreis hat jedoch keine Indexbände. Eine teilweise Durchsicht der Matrikelbücher hat kein Ergebnis gebracht.
Zu berücksichtigen sind auch die Nennungen von O. in SCHIFFMANN, Ortsnamen-Lexikon, 231. Jedoch ergab auch die Suche in den Matriken von Obernberg am Inn und Hohenzell keinen Treffer.
Am wahrscheinlichsten der OT von Ort im Innkreis. Wenn mehr Zeit, nochmals die Matriken genau durcharbeiten (tritt bis 1734 in den AMP in Erscheinung)."
214,Herrschaft Illereichen
217,"Várgesztes, Ansiedlung von ""Leuten"", d.h. Kolonisten in Ungarn."
219,Oberösterreich
223,"Bayern, heute in Oberösterreich, Bez. Schärding"
224,"wahrscheinlich das See bei Burglengenfeld, Bayern (Holztransport!) Mit Datensatz 221 vereiningen!"
67,Doppelt - dieses ändern!
225,"N. wird in den AMP nur Personen/Familien verwendet, die eindeutig zuordenbar sind.

Kriterium 1: Nachweis in den Matrikelbüchern der Pfarre St. Martin im Mühlkreis. Dies gilt für folgende Familien bzw. Personen (in Klammern stehen die Namensvarianten aus den Matrikelbüchern): Aizlesberger (Aiglesberger, Ätzlesberger), Dilli (Tilli), Durner (Thurner), Eggersdorfer (Eckerstorfer), Ehrngruber (Ehrengruber), Emmerstorfer (Ermerstorffer), Fischer, Gärtner (Gartner), Gruber (Grueber), Harrer, Höllinger, Hofstetter (Hofstätter), Joachim, Lechner (Lehner), Luger (Lueger), Mayrhofer, Moser, Möslinger (Mößlinger), Pröll, Paumgartner (Paumgarttner), Puemberger (Buemberger), Reiff (Reif), Schlagnitweit (Schlagindweith), Simader, Stockinger, Strasser, Viechbeck (Viehbäck, Viepöckh), Weiland (Wällandt), Winkler, Wismayr (Wißmayr), Johann Wolf, Wolfmayr.

Kriterium 2: Vorkommen desselben (Familien-)Namens in mehreren umliegenden Orten. Dies gilt für folgende Familien bzw. Personen: Bissreiter, Preuer, Dorner, Freudentaler, Gatterpaur, Gerl, Haieder, Georg Huber, Plazer,  Pointner, Pruckner, Pusch, Saladoppler, Schellenberger, Schorn, Wegenstois, Weiger, Wittich.

Kriterium 3: Familiennamen, die eine eindeutige topografische Beziehung zu N. haben: Kaiser (Anwesen gegenüber von Neuhaus),  Rennharter (Bezeichnung eines Bauernguts ""Renhartner""), Schmidelsauer (siehe Schmidelsau bzw. ""Obere und Untere Schmidelsau""), Treisenau (Ortsbezeichnung ""Dreysenau"" in den Pfarrmatriken von St. Martin im Mühlkreis).

Kriterium 4: Einträge, die sich auf die Herrschaft N. beziehen (Verwalter, Brauhaus, Kammerschreiber etc.) bzw. auf den lokalen Wirt (Wirt, Hofwirt, Veit Wirt).

Kriterium 5: Nennungen der Besitzer der Herrschaft N.: Sprinzenstein (bis 1729), Taxis (ab 1729).

Siehe auch das unbestimmte N. und N. (am Inn). Prinzipiell zu unterscheiden von N. (Böhmen) aus den KWNB."
227,Esztergom
228,Evtl. Reichenberg oder wahrscheinlicher Reichersberg!
110,Heute OÖ (Innviertel).
1094,"H. wird nur einmal in den AMP genannt. Die Person, Martin  Perndl, kommt sonst aus Straubing und Bogenberg. H. (Dietramszell) an der Isar ist eher unwahrscheinlich, aber nicht völlig auszuschließen. Evtl. handelt es sich um eine Verschreibung von Bogenberg oder es ist eine Variante des häufigen Namens Hohenberg. Es düfte sich aber bezüglich Personen und Güter um einen Ort im heutigen Bayern handeln."
1102,"Evtl. Hartheim, Hartkirchen etc.?
Eher einer der zahlreichen ""Hart""-Orte? Alleine in Ö über 100!
Nur eine einzige Nennung in den AMP."
1103,Bei/in Schlögen. [abgekommen]
230,"Siehe Mapiere: Ober- und Untere-Schmidelsau <iframe width=""560"" height=""315"" src=""https://mapire.eu/en/map/cadastral/embed/?layers=3%2C4&bbox=1554897.792037257%2C6173835.64050072%2C1562149.755095813%2C6176224.297634632"" frameborder=""0"" allowfullscreen></iframe>"
431,"Heute Stadl-Paura (zurückgehend auf eine Schiffersiedlung, benannt nach den ehem. Salzstadeln an der Traun)."
746,Vermutlich ein Schreibfehler des Mautschreibers: Georg Reif von Reif (?)(bekannt als Müller von Neuhaus)
693,"Zwar wird der Ort explizit als ""Schwandorff"" mit ""n"" in den AMP bezeichnet, dennoch handelt es sich mit größter Wahrscheinlichkeit um den Ort ""Schwadorf"" in Niederösterreich.
Ein ""passauischer Offizier"" (=""Rentschreiber""?) wird mit seiner Frau und Hausrat laut der AMP 1721 donauabwärts nach Sch. transportiert. Die donauaufwärts gelegenen Orte Schwandorf in Bayern und Schwandorf als OT von Neuhausen ob Eck sind daher auszuschließen, ebenso wie der schlesische Ort Schwandorf/Zwanowice.
""Schwadorf"" im Bezirk Bruck an der Leitha in Niederösterreich hingegen gehörte als Herrschaft zum Besitz des Hochstiftes Passau in Österreich. In der Literatur wird immer wieder auf Verschreibungen zwischen ""Schwandorf"" und ""Schwadorf"" hingewiesen. Auch im Joseph. Kataster noch als ""Schwandorf""!."
15,Reichsstadt
747,"Waidhofen an der Ybbs oder Waidhofen an der Thaya.
"
613,"Zwei Möglichkeiten in Bayern: OT von Zorneding oder OT von Landsberg am Lech (Pfarre Pitzling); jedoch ist in den jeweiligen Matriken keinerlei Hinweis auf die Familie Petenkofer zu finden.
Ein Pöring gibt es auch in Oberösterreich im Hausruckviertel, OT von Gampern. Dieses ist von seiner Lage her zwar unwahrscheinlich, jedoch kann eine Familie Petterkofer dort nachgewiesen werden, nicht aber (soweit ich gesehen habe) die Personen in den AMP.
Bis zu weiteren biographischen Studien unidentifiziert. Leider kommt bei der Literaturrecherche immer der Hygieniker Max von Pettenkofer..."
35,"Gemeinde Niederkappel, Bezirk Rohrbach. Die Zuordnung zu Grafenau im Mühlviertel und nicht zu Grafenau (Ilz, Hochstift Passau) erfolgte über die anderen Herkunftsorte der Personen und die gehandelten Güter. 
Lage direkt an der Donau.
Nur eine einzige Person passt nicht vollständig ins Schema: Matthias Ziech, der mit Glas handelt. Hier wäre natürlic hauch Grafenau im Baerischen Wald in Betracht zu ziehen, jedoch gibt es auch im Mühlviertel eine lebhafte Glasindustrie, vor allem rund um Schlägl, sodass auch diese Person bei Grafenau/Oberösterreich belassen wurde, jedoch mit einer Anmerkung im Bemerkungsfeld."
900,"Wahrscheinlich im bayerischen Raum, an der Isar, da die einzige Person aus Grund sonst aus Tölz kommt.
Sonst zu unspezifische Bezeichnung.
Evtl. der OT Grund von Ruhstorf an der Rott? https://de.wikipedia.org/wiki/Ruhstorf_an_der_Rott"
37,Oberösterreich
40,Bei Bogen bei Straubing an der Donau gelegen.
48,Heute Oberösterreich.
927,heute Zagreb
62,Reichsstadt
65,"Bei Eferding, Pupping"
236,In Bayern und in Niederösterreich
237,Bostam.? unklar und unsicher.
235,"Bayern, Niederösterreich? Wahrscheinlich Ebelsberg, heute Stadtteil von Linz (https://de.wikipedia.org/wiki/Ebelsberg)"
74,"Herrschaft Altenhof: Von 1572 bis 1844 ist die Herrschaft in Besitz der Grafen Salburg, die bis zum heutigen Tag im Besitz des im oberen Mühlviertel befindlichen Schlosses Altenhof sind (s.a. Aichberg)."
78,OT von Kirchberg im Wald (Person in Matriken identifiziert).
159,"Zur Identifizierung von ""Gernisch/Germisch"" mit ""Garmisch"" siehe D. Anton Friedrich Büschings Neuer Erdbeschreibung dritten Theils zweyter Band, welcher den schwäbischen, bayerischen, fränkischen und obersächsischen Kreis enthält, S. 1623.
(Grafschaft Werdenfels)."
106,Oberösterreich
926,Volary (deutsch: Wallern) ist eine Stadt in der Region Südböhmen in der Tschechischen Republik im Bezirk Prachatice
124,Bayern
166,"Pfarrgemeinde Schönering, Ortsgemeinde Wilhering in Oberösterreich. Meist Fahrten stromaufwärts. Oberpaur und Obermayr sind in Schönering gängige Namen (z.B. Margaretha Oberbäurin aus Fall stirbt am 30.11.1731: Schoenering, Sterbebuch 04 (IV) | 301/04, pag. 6). Außerdem kommt ein Paul Oberpaur sowohl aus Hagenau als auch aus dem auf dem anderen Donauufer liegenden Fall. Waren: Hafnertiegel, diese scheinen sonst auch im Zusammenhang mit dem gegenüberliegenden Ottensheim auf.

Fall (Lenggries) ist auszuschließen!"
