warenId,ware,ware_quelle,kurzbeschreibung,literatur
27,Knoblauch,knobloch,"stark riechende und scharf schmeckende Gewürzknolle, die in der Küche und als Arznei Verwendung findet.
","kR&Uuml;NITZ; Encyklop&auml;die, &quot;Knoblauch&quot;."
28,Baumwollware,"paumwohl waar, pwohlen waar, pwohl waar",,
29,Baumöl,"paumöhl, pöhl",Olivenöl,
30,Gallus,gallus,"1. Hahn, männliches Haushuhn.
2. Gallusapfel, ist ein Auswuchs an Zweigen und Blättern der Eiche, der durch den Stich bestimmter Insekten entsteht. Besonders hochwertig sind die schwarzen Gallusäpfel aus Aleppo, die z. B. von Färbern, Lederbereitern und Künstlern verwendet und u. a. zu Tinte erarbeitet werden.","Kr&uuml;nitz, Enzyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Gallapfel</a>&quot;, &quot;Gallus&quot;; Schedel, 1814, S. 588, &quot;Gallus&quot;; wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Gallus"">Galllus</a>&quot;, &quot;<a href=""http://de.wikipedia.org/wiki/Gallapfel"">Gallapfel</a>&quot;. "
31,Feigen,"feigen, faigen",früchte des Feigenbaums,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://books.google.at/books?id=mnk1AAAAMAAJ&amp;pg=PA395&amp;dq=felddistel&amp;hl=de&amp;sa=X&amp;ei=um3XU-SeJ-nmywPrz4HgAQ&amp;ved=0CCEQ6AEwAA#v=onepage&amp;q=felddistel&amp;f=false"">Feige</a>&quot;.<br />"
408,Reißkohle,reiss:kollen ,"Reisstifte, werden zum Malen oder Zeichnen verwendet und aus Rosmarin-, Wein- oder Weidenholz hergestellt.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Rei&szlig;kohle</a>&quot;."
33,Carobe,"carobe, carrobe, coroby, croby","Johannisbrot ist die Frucht des Johannisbrot-, Heuschrecken-, oder Hornbaums, die zu einer sirupartigen Medizin oder einem Gewürz verarbeitet wird.","Kr&uuml;nitz, Enzyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Johannisbrod</a>&quot;; wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Johannisbrotbaum"">Johannisbrotbaum</a>&quot;."
34,Kalbfelle (gearbeitet),gearb. kalbfehl,,
35,Zirbelnüsse,"zirbesnissl, zirbesnisl, zibernissl, ziebernnüsl, zirblnißl, zierbnißl, ziebesnissl, zirbenisl",,
36,Gallapfel,gall öpfl,"siehe ""Gallus"".",
37,Salmiak,"salmiack, sällmiäckh","Ammoniumchlorid, das einen intensiveren Geschmack als Kochsalz besitzt, und z. B. in der Färberei und Gerberei sowie in der Verzinkung und beim Löten eingesetzt wird.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Salmiak</a>&quot;; Wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Ammoniumchlorid"">Ammoniumchlorid</a>&quot;."
407,Sardellen,sardellen,"Heringsartiger Fisch, beliebter Speisefisch, der vor allem eingesalzen als Anchovis gegessen wird.","Wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Sardellen"">Sardellen</a>&quot;."
39,Salz,salz,,
40,Kalbfelle (roh),"roche kalbfehl, rauche kalbfehl",,
41,Terzenhäute (gearbeitet),gearbeithe terz heut,,
42,Terpentin,terpetin,"Destillat von Harzausflüssen verschiedener Konifere, vor allem von Kiefern. Siehe auch ""Kienöl"".","Wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Terpentin"">Terpentin</a>&quot;. "
43,Honig,"hönig, hennig, hönnig",,
44,Weinstein,weinstain,,
45,Käppel (grün),griene käpl,,
46,Weizen,waiz,Getreideart (Triticum).,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Weizen</a>&quot;."
47,Wein (Oberländer),oberlender wein,,
48,Bücher,"biecher, büecher, piecher, püecher",,
49,Lederhandschuhe,"leederne handschuech, liderne handschuech",,
50,Wollware,wohlen waar,,
51,Juchten,juchten,"Speziell hergestelltes und rot gefärbtes Kuh-, Ochsen- und Rossleder, das vor allem aus Russland importiert wurde. In den Aschacher Mautprotokollen wird oft das Verhältnis 1 Zentner Juchten = 9 Paar angegeben (z. B. Hs. 104 (1718), pag. 227.","<p>Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Juchten</a>&quot;.</p>"
52,Zucker,"zuker, zucker, zeucker, zugger",,
53,Tuch,"tuech, tüecher, allerhand tüecher, duech, tiecher",,
54,Fastenspeise,fasten speis,,
55,Blumenzwiebel,"blumen zwiffl, plaimben zwiffl, zwifl blumen, plaumben zwiffl","Das Wort ""plaimben"" kann im Bairischen dialektal für ""Blumen"" verstanden werden.",Sitzungsberichte der Bayerischen Akademie der Wissenschaften. Philosophisch-philologische und Historische Klasse (1910) 32 Anm. 4. 
56,Messingware,"mössing waar, möss:wahr",,
57,Zinnware,zihn waar,,
58,Krämerei,"crammerey, differente crammei",,
59,Heringe,"höring, hörring",Meeresfisch.,"Kr&uuml;nitz, Encyklopdie, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">H&auml;ring</a>&quot;."
8916,Heyring,heyring,"Bedeutung ""Hering"" sehr unsicher, da kein Gebinde (z.B. Tonne) genannt und da das Gut mit Kälbern tranportiert wurde. Evtl. ein Lamm (Gebühr 1 d. pro Stück)",
60,Käse,"kääs, kees",,
61,Käse (Schweizer),schweizer:kääs,,
2938,Haarsieb,haar:sib,Aus Pferdehaaren geflochtenes Sieb.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Haarsieb</a>&quot;. "
63,Florettband,"floret band, floret brot [?]","Aus grober Florettseide hergestellte, schmale Bänder zur Einfassung von Stoffen.","Kr&uuml;nitz, Encyclop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Floretband</a>&quot;.<br />"
64,Klingen,"clingen, klingen",,"Kr&uuml;nitz, Enzyclop&auml;die, &quot;Klinge&quot;."
5989,Büchsen (neu),neue pixen,,
65,Kamelhaar,camel haar,Haar der Kamel-Ziege oder angorischen Ziege.,"Kr&uuml;nitz, Encyclop&auml;die, &quot;Kamelhaar&quot;."
66,Weizen (gedörrt),gedörte waizen,,
67,Naderei,"naderej, nadery",,"<p><a href=""http://books.google.at/books?id=-5pCAQAAIAAJ&amp;pg=RA1-PA83&amp;dq=naderei&amp;hl=de&amp;sa=X&amp;ei=-2UhVKb4JaXXyQO3xYHwDg&amp;ved=0CEwQ6AEwCA#v=onepage&amp;q=naderei&amp;f=false"">http://books.google.at/books?id=-5pCAQAAIAAJ&amp;pg=RA1-PA83&amp;dq=naderei&amp;hl=de&amp;sa=X&amp;ei=-2UhVKb4JaXXyQO3xYHwDg&amp;ved=0CEwQ6AEwCA#v=onepage&amp;q=naderei&amp;f=false</a></p><p>&nbsp;</p>"
68,Siegelerde,"gesigelte erden, sigilata erden, siegl erden",,"<p>Kr&uuml;nitz, Encyklop&auml;die, &quot;Siegelerde&quot;"
69,Vitriol,"victriol, vectriol, fideriol",Siehe Kupferwasser.,
70,Weihrauch,weyrauch,,
71,Drogerie,"drogerei, dragherei, tragerei, trogheri, drogheriae, trogherey","siehe ""Drogen"".",
72,Blauholz,"blau holz, blaues holz","Lignum campechianum: Holz des Blutholzbaums (Blauholzbaum, Campechebaum), das zum Färben (braunrot, violett, gelbrot) und zur Tintenherstellung verwendet wird.",
73,Tuch (französisch),franz. tuech,,
74,Wasser (französisch),franz. wasser,,
75,"Seidenware (mit Gold, mit Silber)","seidenwaar mit gold und silber, seüden waar mit gold und silber gestickt, seiden waar mit gold und silber vermengt, seuden wahren mit etwas gold et silber vermengt	",,
76,Wasser (destilliert),"distilierts wasser, distilirts wasser",,
77,Kleider,klaider,,
78,Wein (Franken),frankhen wein,,
79,Tuch (Aachner),"achner tuech, aichner tuech",,
80,Pittling,"pikhling, bikhling, pükhling, pittling, pitling, bittling",Einjähriges Tier (wahrscheinlich Pferd). Achtung: Große Verwechslungsgefahr mit Pickling!,"Codex Austriacus, Suppl. I, 324."
81,Tuch (wollen),wohles tuech,,
82,Kürschnerware,"kürschner waar, kiersch:waar","Waren des Kürschners, verarbeitete Felle, Leder.","Kr&uuml;nitz, Encyklop&auml;die, &quot;K&uuml;rschner&quot;."
83,Farbware,"farbwaar, gefarbte waar, gefärbte waar",Achtung: Es besteht evtl. ein Unterschied zwischen Farbware und gefärbte Ware. Prüfen!,
84,Kaffee,"cafee, caue",,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Kaffe</a>&quot;."
85,Erdengeschirr,erden gschier,Tongeschirr.,
5177,Wollborten,wohlene berdtln,,
5178,Knastertabak,"cnaster tabakh, conaster tawakh, canaster tawokh, cnoster tawakh",Hochwertiger Tabak.,https://de.wikipedia.org/wiki/Knaster
5179,"Bleiware, Halbzinnware","halbzihn et bleywaar, halbzihn und blaywahr",,
5180,"Affen, Vögel",affen und vögl,,
5181,Spiegelglas (gemein),"gmain spiglglas, gemain glaßspiegl",,
5182,Staffel (marmorn),märblstainerne stäffl,,
5183,Fensterstöcke (groß),grosse fenster stöckh,,
86,Arznei,arzenei,,
87,Harrasware,"harraswaar, harr:wahr","Raschartig gewebter Stoff auf Harras, verwendet für Tapeten und Möbelbezüge.","Heiden, Handw&ouml;rterbuch der Textilkunde, 246.<br />"
88,Fischware,fischwaar,,
89,Flachfisch,"ffisch, flachvisch, ffüsch, flachfisch",,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Flachfisch</a>&quot;. <br />"
90,Karabiner,"carabiner, carbiner, carbin",Kurzes Feuergewehr mit Luntenschloss.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;Karabiner&quot;."
91,Pistolen,pistollen,,
92,Wein (Rhein),rhein:wein,,
93,Hafer,"habern, haaber",Getreideart.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Hafer</a>&quot;. "
94,Schmalz,schmalz,"Aus dem Speck (vor allem der Schweine) ausgelassenes, festes Fett, das früher fast ausschließlich als Küchenfett verwendet wurde.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Schmalz</a>&quot;. "
95,Weihnachtsbrot,weyhnachtbrod,,
96,Degengriffe,degen griff,"Teil des Degens, an dem die Klinge angebracht ist und die, ebenso wie das Degengefäß, aus verschiedenen Materialien hergestellt werden können.","Kr&uuml;nitz, Enzyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Degengriff</a>&quot;.<br />"
97,Spezerei,"specerej, allerley specerey","Seit dem 14. Jh. Bezeichnung für Gewürzwaren, gelegentlich auch für Gewürzläden und Apotheken.","Wikipedia, &quot;Spezerei&quot;."
98,Silberware,silber waar,,"<p>Deutsches W&ouml;rterbuch von Jacob und Wilhelm Grimm, &quot;<a href=""http://woerterbuchnetz.de/cgi-bin/WBNetz/wbgui_py?sigle=DWB&amp;lemid=GS29096"">Silberware</a>&quot;. </p>"
99,Draht (leonisch),"leonischer tratt, leonisch tröttl","Gezogener Kupferdraht, der verzinkt, vergoldet oder versilbert wird, und aus dem andere, leonische Waren hergestellt werden. 
Als Leonische Waren werden also Drahtgeflechte bezeichnet, die aus Kupfer- oder Messingfäden hergestellt und in der Folge auch vergoldet oder versilbert werden.
Leonisches Gold oder Silber ist  eine Mischung aus Kupfer und Zink, die mit Gold und Silber überzogen wird, und daher auch als ""unechtes"" oder ""falsches"" Gold bzw. Silber bezeichnet wird.","<p>Schedel, 1814, S. 603-604, &quot;Leonisches Gold und Silber&quot;; wikipedia, &quot;Leonische Waren&quot;;</p><p>&nbsp;http://books.google.at/books?id=yXhoVPUjVf0C&amp;pg=PA329&amp;dq=leonische+waren&amp;hl=de&amp;sa=X&amp;ei=zSXOU5HqJ4r8ywO7poLICA&amp;ved=0CD8Q6AEwBA#v=onepage&amp;q=leonische%20waren&amp;f=false</p><p>&nbsp;</p>"
100,Schärpen (seiden),"seidene schärpfen, seidene charppe",,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Sch&auml;rpe</a>&quot;."
101,Thesesbilder,"thesses, thesses:bilder, thesespilder",,
102,Frauenbildel (silbern),silbern frau:bildl,"Darstellung/Portait einer Frau, zumeist der Jungfrau Maria.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Frauenbild</a>&quot;.<br />"
103,Gut (beschlagen),beschl. guett,Beschautes und mit einem Stempel versehenes Stück Ware. In Baumwolle verpackte hochwertige Fernhandelswaren.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"" target=""_blank"">Beschlagen</a>&quot;; Herbert <span style=""font-variant: small-caps"">Hassinger</span>, Geschichte des Zollwesens, Handels und Verkehrs in den &ouml;stlichen Alpenl&auml;ndern vom Sp&auml;tmittelalter bis in die zweite H&auml;lfte des 18. Jahrhunderts 1: Regionaler Teil, erste H&auml;lfte: Westk&auml;rnten-Salzburg (Deutsche Handelsakten des Mittelalters und der Neuzeit 16, Deutsche Zolltarife des Mittelalters und der Neuzeit 5, Stuttgart 1987) 612; Herbert <span style=""font-variant: small-caps"">Klein</span>, Beschlagenes Gut, in: Beitr&auml;ge zur Siedlungs-, Verfassungs- und Wirtschaftsgeschichte von Salzburg. Gesammelte Aufs&auml;tze von Herbert Klein. Festschrift zum 65. Geburtstag von Herbert Klein (Mitteilungen der Gesellschaft f&uuml;r Salzburger Landeskunde Ergbd. 5, Salzburg 1965) 549&ndash;558."
104,Käse (gemein),"gmain kääs, ord. gmain kääs",,
105,Schweindel,schweindl,Junges Schwein.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Schweinchen</a>&quot;. "
106,Kuhhäute (roh),"rauche küe:heut, rauche küheutl, rauche kieheitl, rauche kiehethl, rohe küeheut",,
107,Materialware,"material waar, materalisten wahr, matrial wahr",,
108,Perücken,"paruquen, baroquen, parachon",,
109,Haar (gebleicht),geblaichte haar,,
110,Unschlitt,"insleth, inßlicht, Inselt",,
111,Hafnergeschirr,"hafnergschier, hafengschier, hafen gschier, höfen gschier","Ein Hafner ist ein Töpfer, es handelt sich also um Tongeschirr.","<p>Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Hafner</a>&quot;.</p>"
112,Braugerste,preu gersten,"Im Gegensatz zur Futtergerste jene Gerste, die für den menschlichen Verzehr bestimmt ist. Sie wird in der Mälzerei zu Malz verarbeitet und danach zur Herstellung von Spirituosen, Backwaren und Malzkaffee verwendet.","Wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Braugerste"">Braugerste</a>&quot;.<br />"
113,Spinnhaar,"spinhaar, spihn haar",Flachs.,"Deutsches W&ouml;rterbuch von Jacob und Wilhelm Grimm, &quot;<a href=""http://woerterbuchnetz.de/cgi-bin/WBNetz/wbgui_py?sigle=DWB&amp;lemid=GS35360"">Spinnhaar</a>&quot;."
114,Röte,"reth, rett, redt, red, färber reth, recht, farb redt, rött, roth","Färberkrapp, Rubia tinctorum, ist eine Pflanze, deren Wurzeln zum Rotfärben verwendet wurden. Ihr Anbaugebiet ist in Mitteleuropa, besonders in Schlesien. ","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">R&ouml;the</a>&quot;."
115,Hausen,haußen,"ist ein großer Fisch, auch Stör oder Beluga genannt.","<p>Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Hausen</a>&quot;.</p>"
116,Baumwolle,paumwohl,,
117,Wachs,wax,,
118,Marmorsteine,"mörblstain, märmlstain, marlmstain, marblstain, märblstein, märmorstain, märblstain, märömlstain",Marmor,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Marmor</a>&quot;."
5896,Forellen,forellen,Fische,
119,Biber,"piber, püber",,
120,Weinbeeren,weinpörl,,
121,Schwefel,"schwebl, schwöbl",,
122,Halbpfundhäute,"halbpfund heut, heut halbpfund leeder, halbe pfundtheut, halb pfund heith, heith halb pfund leeder",,
123,Meselan,"mössälän, mässälän, mässelän, mässölän","Schlechtes Mischgewebe aus Wolle und Leinen. Wahrscheinlich identisch mit ""Musselin"" - noch zu verifizieren.
","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Meselan</a>&quot;; Johann Ferdinand Roth, Gemeinn&uuml;tziges Lexikon f&uuml;r Leser aller Klassen, besonders f&uuml;r Unstudierte (...), Bd. 1: A-L (Halle 1807) 52; Hausmann, <em>Im Gw&ouml;lb</em>, 169."
124,Seide,"seiden, ganz seiden, setta, allerhand seiden","Faser, die aus dem Kokon der Seidenraupe gewonnen wird. Seta: ital. für Seide.","Wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Seide"">Seide</a>&quot;. "
125,Pomeranzenschalen,"pomeränzen schallen, bameratschen schallen, pomeranzen scheller",Bitterorange. Die Schalen dienen zur Herstellung von Pomeranzenöl und -marmelade.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Aurantium</a>&quot;."
126,Öl (mit Geruch),öhl mit geruch,,
127,Fischschmalz,"fischschmalz, fieschschmalz",,
128,Blei,"bley, blay","Unedles Metall, das seit der Bronzezet für die Herstellung von Bronze verwendet wird. ",
129,Pergament,bergament,Als Beschreibstoff zugerichtete Tierhaut. ,"<p>Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Pergament</a>&quot;. </p>"
130,Buchführerei,"buechfiererei, buechfiererey, buechfierey, puchfiererei",,
131,Schriften,"schrifften, schrüften, schrüfften, schreibereyen",,
132,Harras (ungemacht),ungemacht harras,,
133,Leinenbändel,leinenpändl,,
134,Baye,"bey, boy, pey, poy, bei, boj, beih","Sehr lockerer, auf der einen Seite mit Haaren gezogener Wollstoff.","<p>Kr&uuml;nitz, Enzyklop&auml;die, &quot;<a href=""http://kruenitz1.uni-trier.de/cgi-bin/getKRSearchText.tcl?sexp=baye+mode=0+start=0+loc=+from=+til=+sa=0"">Baye</a>&quot;</p>"
135,Harrasgarn,"harrasgahrn, harrasgahr",,
136,Flintenschlösser,flinten schlösser,"Teil der Flinte, mit dessen Hilfe der Schuss abgefeuert werden kann. Die fünf wichtigsten Teile sind der Spannarm, das Spannstück, der Zündstift, der Hahn und die Abzugsstange.","Wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Flinte#Schloss"">Flinte</a>&quot;. <br />"
137,Wasser (gebrannt),"gebrents wasser, gebrend wasser, ausgebrents wasser",,
138,Kapern,"capres, capern, caperi, capri, capry, gäpry, caperj, capperej","Blütenknospe des echten Kapernstrauches, der im Mittelmeerraum gedeiht.","Wikipedia, &quot;Kapern&quot;."
139,Silbergeschirr,silber gschier,,
140,Fisch,fisch,,
141,Silberborten,silber:porten,Mit Silber durchwirkte Borte.,"Deutsches W&ouml;rterbuch von Jacob und Wilhelm Grimm, &quot;<a href=""http://woerterbuchnetz.de/cgi-bin/WBNetz/wbgui_py?sigle=DWB&amp;lemid=GS28563"">Silberborte</a>&quot;. "
142,Schaffelle,"schaffehl, ord. schaffehl, schaffel, ungef[ärbte] schaffehl",Mit Wolle bedeckte Haut der Schafe.,"<p>Kr&uuml;nitz, Encklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Schaf</a>&quot;. </p>"
143,Säbel (gemacht),gemachte säbln,,
144,Lederware,"leederwaar, leederne waar, lederer wahr",,
145,Ingwer,"ingber, inber, imber, gemwahr","Ingwer, ist Wurzel des Zingiber officinale, die als Gewürz und Arzneimittel verwendet wird.
Zur Bezeichnung ""Gemware"" für Ingwer siehe Philipp Andreas Nemnich, Allgemeines Polyglotten-Lexicon der Natur-Geschichte (...) (Hamburg/Halle 1795), Sp. 234: http://www.e-rara.ch/zut/content/structure/3489846","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Ingber</a>&quot;. "
146,Nägel,"nögl, nägl, allerhand nögl","Nelken, Nägel",
147,Tuch (gemein),"gmains:tuech, gmaine tüecher",,
148,Gerste,gersten,ist eine Getreideart (Hordeum). ,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Gerste</a>&quot;."
149,"Käse, Schmalz",kääs und schmalz,,
150,Arbes,arbeis,,
151,Zeug (Passauer),"passauer zeug, pass. zeug",,
152,Kletzen (grob),grobe klezen,getrocknete Birnen,"Adelung,&quot;Kletzen&quot;."
153,Kienruß,"kienrueß, küenrues",aus Kienstöcken - Wurzelstöcke der Kiefer - und Wurzeln wird schwarzes und weißes Pech gesotten.,"Kr&uuml;nitz, Encyclop&auml;die, &quot;Kienru&szlig;&quot;."
154,Pappdeckel,"papp:dekl, pappier:deckl, tekhl pappier, dekhl pappier",,
2018,Halbpfundhäute (gearbeitet),gearbeithe halb pfund heith,,
156,Gewichte (eisern),"eiserne gewichter, eisen gewichter",,
157,Pergamenthäute,"bergament heutl, pärament heut, piramentheut",,
158,Tuch (Norder),norder tuech,,
159,Handschuhe,"handschuech, handschueg",,
160,Schuhe,schue,,
161,Wurzen (gemein),"gmaine wurzen, gmaine wurzln, gmaine wurzl, gmain würzl",,
162,Halbseidenware,halbseiden waar,,
163,Harrasbändel,harraspändl,,
164,Wollgarn,wohles gahrn,,
165,Feigenzelten,feigen:zelten,Früchtebrot aus Feigen.,
168,Eisenware,eisen waar,"Alle, aus Eisen hergestellten Erzeugnisse, ganz gleich ob diese gegossen oder geschmiedet wurden. Eingeteilt werden diese weiter nach ihrer Herkunft, ihrer Qualität, ihrer Legierung etc.","Schedel, 1814, S. 310, S. &quot;Eisenwaare&quot;."
169,Butter,butter,,
170,Fleisch (geselcht),geselchts fleisch,,
171,"Hirschhäute, Wildhäute",hiersch unnd wildheuth,,
172,Strohborten,stroo:porten,"2-3 cm breite Geflechte aus Weizenstroh, die in Deutschland zur Anfertigung von Strohhüten gebraucht werden. ",
173,Gartensamen,gartten:samen,,
174,Spitze,"spüz, spiez, spüzen, spüzn","Geklöppeltes, gewirktes, etc. Gewebe, das am Rand mit zarten Zacken versehen ist. ","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Spitze</a>&quot;. "
175,Wasser,"wasser, wässer",,
176,Schnupftabak,schnupf:towakh,,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Schnupftabak</a>&quot;. "
