personenId,bemerkung
4137,"Es ist unsicher, ob es sich bei ""Kellermeisterin"" um einen Familiennamen oder eine Funktionsbezeichnung handelt."
3796,"Ital. Alberto. Bürgerlicher Handelsmann. Merkantilprotokoll, fol. 7."
3979,Ital. Vorname Jacomo (=Giacomo)
570,selten: de Bernini
169,"Der Besitz der Familie Dilli wird heute in der 16. Generation als Gasthaus geführt: www.gasthof-ernst.at. Zur Herkunft siehe  OÖLA, Diözese Linz, St. Martin im Mühlkreis, Taufbuch 3 (1707-1738), pag. 88 (27.12.1728): ""Schifmayster in der Undern [?] Mühl""."
4123,"Heute in Freising. Alternative Bezeichnung: ""Neustüfft in Bayrn"". Nicht zu verwechseln mit dem erst im 20. Jh. gegründeten gleichnamigen Kloster bei Vilshofen"
4127,Lesung Herkunft unsicher: (...)dorf
4151,Oberkommissar von Linz oder - wahrscheinlicher - von Neuhaus
4198,In der Literatur: Binder
4218,alhiesige fleischhacker
4219,"Ital. Vorname: ""Gio"""
17210,"Handelt mit Thesesbildern, stammt wahrscheinlich aus Augsburg."
1199,Siehe Ursula Knölin. Ident?
690,Siehe Johann Martin Eckl. Höchstwahrscheinlich ident
21607,"""Nenz"" wahrscheinlich eine Verschreibung von ""Benz"" bzw. ""Renz""."
490,"Alternativ: Hofmann. Wiener Niederleger. Merkantilprotokoll, fol. 457."
8273,Guiseppe Roberto Solaro Di Breglio: http://www.treccani.it/enciclopedia/giuseppe-roberto-solaro-di-breglio_%28Dizionario-Biografico%29/
147,"Vorname auch: ""Giuseppe"", ""Gioseppe"". Wiener Niederleger. Merkantilprotokoll, fol. 248."
413,"Alternativ: Liembinger (siehe 117 (1728), Blatt 911)."
3713,"Auch als ""Hofgärtner"" bezeichnet."
14060,"Laut Holger Schulten, Passauer Hausgeschichten (Der Passauer Wolf 3), Passau 1994, S.51, wohnte der Maler Jakob Christoph Plazer in Passau."
11331,"bürgl. Weingastgeb, Schiffmeister und Posthalter in Laufen, ab 1723 Stadtrat."
12322,von Linzermarkt herauf und nichts bemautbares
2163,"Vorame gelegentich auch ""Georg"". Scheint mit ""Kürschnewaren"" auf."
4130,Siehe Franz Kaspar Fasching. Wahrscheinlich ident.
4506,"Bürgerlicher Händler. Merkantilprotokoll, fol. 362."
4472,Siehe Joseph Weikhard aus Hallein. Evtl. ident.
14766,6 Haushalte mit 35 Personen
4533,Vorname Quelle: Johan Walthaßar
644,"Weihenstephan ist heute ein Stadtteil von Freising und gehörte historische auch zum Bistum Freising nicht jedoch zum Hochstift.
Bei einer Nennung wird das Kloster Weihenstephan in München verortet, jedoch muss es sich hierbei um einen Fehler des Mautschreibers handeln bzw. um eine Verwechslung mit dem Herkunftsort des Schiffführers.
Das Kloster verfügte über umfangreichen Weingartenbesitz in Gumpoldskirchen."
4621,dem becken in der Rännä
4629,Siehe von Tschiderer
4210,"Alternativer Familienname: Poulli (HS 117 (1728), Blatt 1007).
Vorname Quelle: Rocho.
Merkantilprotokoll, fol. 26."
4645,Siehe auch Johann Christoph Rigner
4654,"Der Nachname ist wahrscheinlich falsch, da er mit der mitgeführten Ware identisch ist."
1238,Alternativ: Franz Gotsching
1938,"Alternative Vornamen: Anophrius, Onuphrius."
5018,Zuordnung als Jude unsicher
380,"Wechsler aus Linz. Siehe Vehse, Geschichte des österreichischen Hofs, S. 195."
5379,"Nachname Quelle: ""Chere""."
6552,beck in der michl
7502,1724 Baron
5152,Preumaister am altenhoff
5305,Siehe Hoppe und Aicher
5314,Siehe Pielling. Ident?
5374,"Wahrscheinlich richtig: Saillet. Savoyarden in Wien. Siehe Raynaud, Einwanderungen, 235f."
630,"Evtl. aus Regensburg: Veit Heinrich Braun. Paritius, 1723, S. 109."
4850,"Nachname alternativ: Kauzsamer
Vorname alternativ: Rupertus"
5472,Reichshofkanzlei
5475,Stukkateur und Bildhauer: https://steyrerdenkmal.wordpress.com/2013/09/26/zwergengarten-im-schloss-lamberg/
8345,"Bürgerliche Händler in Wien. Übernahmen das Geschäftslokal von Johann Peter Garnier (siehe Peter Garnier). Quellen/Literatur: Merkantilprotokoll, von Doerr, Hayek, 142/Anm. 7."
13569,Familienname Quelle: Peßl.
14327,Capuciner zu Steyr
5700,"""Gschwandner zu Linz"""
4398,Trevanno et Consoni
312,Siehe Gottlieb Heiss. Wahrscheinlich ident.
5812,"""Generalgouverneur"" nach der Lit. ergänzt!
Graf Joseph Rabat(t)a Herr zu Dornberg, Canal und Wildhausen, u.a. ksl. Kämmerer, Feldmarschallleutnant und Generalgouverneur zu Karlstadt (Karlovac). Johann Heinrich Zedler, Grosses vollständiges Universal-Lexicon aller Wissenschaften und Künste, Bd. 30, ""Rabata, eine Gräfliche Familie"", Sp. 420f., hier 421, Nr. c."
9649,"Bischof von Konstanz war von 1704 bis 1740 Johann Franz Schenk von Stauffenberg (1658-1740).
Die Konstanzer Fürstbischöfe residierten seit 1527 nicht mehr in Konstanz (dies gehörte zu Vorderösterreich/Habsburg), sondern in Meersburg.
Meersburg selbst wird aber in der Quelle nicht genannt. Wo sich der Bischof tatsächlich aufgehalten hat, kann nicht angegeben werden, aber wahrschelinch dürfte er zur Zeit der Lieferung (""schweizer Wein""/1719) in Wien gewesen sein."
5944,Lesung unsicher
6009,Ident mit Franz Winterstainer?
6013,Höchstwahrscheinlich ident mit Daniel Drexler.
3221,Siehe Georg Dehner. Ident?
6031,Siehe J. G. Staudinger. Ident?
20716,"Bezeichnung: ""Segneur"".
François-Louis de Pesmes de Saint-Saphorin: https://de.wikipedia.org/wiki/Fran%C3%A7ois-Louis_de_Pesmes_de_Saint-Saphorin"
6645,In der Quelle nicht als jüdisch bezeichnet.
756,Alternativer (gleichbedeutender) Vorname: Hieronymus.
1903,"Unsicher, ob es sich bei ""Millner/Müllner"" um eine Berufsbezeichnung oder einen Familiennamen handelt.
Aber eher Berufsbezeichnung, da es in Neuhaus a.D. auch eine ""Mühle"" gibt. Siehe Verknüpfung. Soie die Familie Reiff, die Müller in Neuhaus waren."
6201,"Nachname Quelle: ""Colmor""."
12989,"Johann Anton von Widmann (geb. 1675): 1716 ksl. Rat, Taxator und Archivar, 1720 Hofrat bei der böhmischen Hofkanzlei: https://de.wikisource.org/wiki/BLK%C3%96:Widmann,_die_Ritter_und_Freiherren_von,_und_die_Grafen_von_Widmann-Sedlnitzky,_Genealogie"
13069,"unklar, ob von Hochenau eine topografische Bezeichnung sein soll ""Hochmann von Hochenau"", ""Hochmann de Hochenau"". "
14374,https://de.wikipedia.org/wiki/Johann_Stephan_Burgermeister
6434,Siehe Marx Schlesinger. Höchstwahrscheinlich ident.
862,Alternativ: von Tschiderer
6623,Siehe Andre Neumaister.
1138,"Vorname auch: ""Giorgio"", ""Georgio"". Bürgerlicher Händler. Merkantilprotokoll, fol. 354."
35275,Unklar ob W. zum Nachnamen gehört. J. W. könnte auch für Vornamen stehen.
839,Carmeliter Closter:frauen zu Linz
22277,"Karl Adolf Graf von Rappach, Kommandant der Festung Kufstein"
6757,"Bezeichnung ""Doktor"" unsicher."
4525,"Capuciner zu Traunstain.
Zu den Kapuzinern in Traunstein siehe: https://de.wikipedia.org/wiki/Kapuzinerkloster_Traunstein"
6810,"Nicht bei Gschließer, Der Reichshofrat (...), Wien 1942, erwähnt."
22798,Quelle: Othomanns Felber. Evtl. Firma.
17868,"Nachname Quelle: ""Hierman""."
6924,"Vorname nicht ganz sicher: ""Tomaschso"""
6962,Siehe Johann Germann
6977,Familienname Quelle: Egl
7005,Siehe Joseph Gilbgib.
14758,Buquoy de Longueval
7079,Siehe Isenflamm und Küner.
7118,Siehe Simon Stettner. Wahrscheinlich ident.
7129,Siehe Christoph Heinrich Kürchberger.
7171,Siehe Bartholomäus Castelini. Ident?
7183,"Rieder nicht ganz sicher. (Rüeder?)
Eine Familie Rieder/Röder/Rüeder ist in den Pfarrmatriken von Feldkirchen an der Donau nicht nachzuweisen.
"
14689,Augustin Amadeus von Wagner
6367,Alternative Form des Vornamens: Chrisostomus.
6137,Siehe Sebastian Pomer (Pemer). Ident.
13349,Dominik Josef Simon Judas Freiherr Hayek von Waldstätten: http://de.wikipedia.org/wiki/Dominik_Josef_Hayek_von_Waldst%C3%A4tten
7380,Siehe Andreas Tripaur. Ident?
7413,Nachname: Pommer?
17479,Vorname auch: Giacomo.
1329,Georg Philipp Rugendas d.Ä. Maler und Kupferstecher oder dessen gleichnamiger Sohn. d.J. Maler.
7503,"Quelle: Grafen v. Fugger v. Holl. Wahrscheinlich: ""von Fieger""?"
7537,Siehe Joseph Bianchi. Ident?
7540,Siehe Herr Bigonini. Ident?
3780,"Unklar, ob es sich um einen Familiennamen oder eine Berufsbezeichnung handelt."
7564,Veit Manases?
7578,Siehe Johann Christoph Huber.
8812,"Ein ""angesehener Handelsmann in Linz"", Sohn des Johann Marx Gschwendtner, Stadtrat und Eisenhändler in Salzburg (Archiv der Stadt Salzburg, RP 1720, Seite 37)."
7716,Siehe Johann Palmberger. Ident.
14292,"""Graf Stahrnberg zu Schaunberg und Gstettenau"""
7832,Siehe C. Scheck aus Neutra. Ident.
7874,Vorname Quelle: Adoph
7914,In der Quelle nicht als jüdisch bezeichnet.
8019,Siehe Johann Anton Gleich. Ident?
7571,Alternativer Vorname: Mauriz.
8183,"""Bleintling"""
22661,"Evtl. der Kompagnon von Johann Daniel Hagen, Johann Samuel Preidl. Siehe Schönfeld, Wirtschaftsgeschichte Regensburgs, S. 41."
8248,"Nachname Quelle: ""Preyer""."
8271,nahe Wien
10597,"Auch ""wirklicher Geheimer Rat""."
8418,Siehe Ignaz Fiechtner. Ident?
14840,Graf - 25.7.1724 fol. 606
2455,Siehe Rubacher. Ident?
3356,Siehe Rubacher. Ident?
67,"Lacko, Ungarisches Kupfer, 130.
Zu den Geschäften Ritters mit steirischen Sensen siehe: Edmund FRIESS–Karl GROSSMANN, Ein steirischer Sensenhammer im oberen Murtale in der ersten Hälfte des 18. Jahrhunderts. Zeitschrift des Historischen Vereines für Steiermark 19 (1924) 126–139, bes. 137."
12784,"Die Bezeichnug ist nicht eindeutig: evtl. auch Herr de Tamen
(""Hr. Dri. Tamen"")"
8576,Lesung Vor- und Nachname unsicher
3690,"Alternativer Nachname: ""Kessl""."
8643,Nuntius am Kaiserhof zu Wien
4195,"Lesung Brauhaus unsicher. Quelle: ""preuwaickh"""
1809,"""Hr. Lindtner am Hofberg zu Linz""."
8792,in Wien
8802,"Anton Esaias Edler von Hartig (1681–1754), später Graf und Vizepräsident des Reichshofrats."
8846,Vorname Quelle: Brauch.
8865,In der Quelle nicht als Jude bezeichnet.
8948,Lokale Zuordnung unsicher: Mannheim?
9005,"Siehe auch ""Rapp Martin"""
9023,Johann Benedikt Gentilotti von Engelsbrunn (1672 Trient-1725 Rom): https://www.sn.at/wiki/Johann_Benedikt_Gentilotti_von_Engelsbrunn
9103,"""P.P. Capuciner zu Linz im Urfahr"""
9207,"Siehe Fizes, Fires. Ident?"
9232,Siehe Karl Kleinhunger. Ident?
9261,Lesung Nachname unsicher.
9270,Mautner könnte evtl. auch ein Familienname sein.
9312,Siehe Anton Fries. Ident?
9318,"Johann Theodor von Bayern, Bischof von Freising, Regensburg und Lüttich"
9321,Evtl. ident mit ksl. Reichshofkanzlei
9341,"Siehe auch Miller, Agent. Ident?"
12918,"Wahrscheinlich Johann Stephan Burgermeister (Burgemeister, Bürgermeister) von Deizisau: http://www.deutsche-biographie.de/ppn100063306.html?anchor=adb"
1853,1684-1740; Dt. Schabkunststecher: http://personen.digitale-sammlungen.de/pnd/bsb00000273_00414-00.html
11360,"Evtl. ein Mitglied der Familie ""Pettenkofer"" aus Pöring. Siehe Michael und Franz Pettenkofer."
7419,"Andere Bezeichnung: ""Eminenz Cardinal Grimaldi"", ""Excell. Grimaldi erzbischoffen zu Edessa (...)""."
8406,"gmainen Marckts:Preuhauß, hiesiges preuhaus"
9534,Siehe Bernhard Schaden. Ident?
9540,"Vgl. auch ""Eberling""?"
9557,"Damian Hugo Franz Adrian Anton von Viermund zu Neersen (ab 1706 von Virmont) (* 24. August 1666 in Herten; † 21. April 1722 in Hermannstadt) war ein Freiherr, ab 1706 Graf, aus Neersen und Angehöriger des niederrheinischen Adelsgeschlechtes Virmond-Neersen (1502–1744). Er war kaiserlicher General und Diplomat und stieg durch besondere Verdienste in den Türkenkriegen zum Reichsgrafen auf.
Siehe: http://de.wikipedia.org/wiki/Damian_Hugo_von_Virmont"
9630,Siehe auch Klerian?
2670,"Vorname auch häufig in der franz. Version ""Estienne"". Sehr selten: ""Estienne et Capieu"".
Stephan Capieu ist aus den KWNB bekannt, daher auch die Ortsergänzung. "
14447,möglicherweise ist der Nachname verschrieben und es handelt sich um Georg Pachner aus Wien 
9702,"Regen nicht ganz sicher - Lesung unsicher, evtl. auch Regensburg(?)."
9716,Siehe Matthias Wisinger aus Ottensheim. Ident?
33681,https://de.wikipedia.org/wiki/F%C3%BCrst_von_Avellino
9761,"Vorname ""Carolo""."
9774,"Niederleger: Kaiserlicher (...) Staats= und Stands Calender (...) [1723] (Wien), 243.
In der Quelle (1719, pag. 79) ""Zacharias und Kriner"". Es dürfte sich aber um den Händler ""Zacharias Krinner"" aus Nürnberg handeln. Bildnis eines Hieronymus Zacharias Kriner: http://www.portraitindex.de/documents/obj/33803057. Dieser war des früh verstorbene Sohn des Zacharias (siehe Seibold, Wirtschaftlicher Erfolg). Bildnis des Zacharias Kriner 1692: http://dlib.gnm.de/item/HK3-1/437/html"
7094,Evtl. Frau.
5912,"Transportiert Viktualien für Graf Sprinzenstein/Oberösterreich, daher Zuordnung zu Neuhaus an der Donau."
32799,"Quelle, 95 (1710), pag. 812: ""Vale Kammer""."
9811,"Der Familienname muss noch überprüft werden, eigentlich ""Oberlofer""?"
15633,In Aschach in Quartier liegend.
9844,"""Carolo"""
3487,"Quelle: ""etlich manern""."
10078,Gesandter am Kaiserhof
660,"Lorenz Matthias Guggumus, Buchhändler in Linz. 
Henke/Winkler, Geschichte des Buchhandels in Linz, 53-55, 74. Laut Menzel, Buchbinder, S. 26f., 83, in Wiener Neustadt gebürtig und in Wien eine Ausbildung zum Buchbinder absolviert; er wurde aber nicht zum Meister zugelassen.
"
10137,"Es dürfte hier unter ""Kastner"" eher die Funktion des Kastners als ein Nachname zu verstehen sein."
1624,"Es handelt sich dabei um den Augsburger Verleger Georg Schlütter/Schlüter. Gier, Buchdruck und Verlagswesen in Augsburg, 499."
3347,"Die Zuordnung zu Neuhaus ""an der Donau"" ergibt sich aus den anderen Nennungen Viechbecks, die alle im nahen Umkreis zu Neuhaus an der Donau im Mühlviertel liegen."
4328,P. P. Capuciner zu Mildorff in bayrn
9532,P. P. Capuciner zu Minichen
3729,Capuciner zu Passau
12908,P.P. Capuciner zu Poystorff in Unterösterreich
1702,"Jakob Johann Hamel-Bruynincx (1661-1738), Gesandter der Niederlande am Kaiserhof."
5976,Familienname alternativ: Millner.
1944,"Alternativer Name: Gio Pietro Augusti. Wiener Niederleger. Merkantilprotokoll, fol. 2."
15094,"Da es eine Hausbezeichnung ""Schopper"" in der Au flußabwärts von Aschach im Katasterplan gibt, wird Schopper als Name und nicht als Berufsbezeichnung geführt.
Siehe https://mapire.eu/de/map/cadastral/?layers=3&bbox=1558151.862127667%2C6162872.565080317%2C1561780.2323140788%2C6164066.893647272"
15222,Untertan der Herrschaft Freiling.
32705,In der Quelle nicht als jüdisch bezeichnet.
15659,Feldmarschall Wirich Philipp von Daun
9988,https://de.wikipedia.org/wiki/Franz_Hannibal_von_Mörmann
15279,"Eisenhändler in Regensburg. Paritius, 1723, S. 111."
9034,Inhaber der Herrschaft Eferding 1724 (373)
12551,Kapuziner im Weingarten zu Linz
12609,"Das Adelsprädikat ""von Adelshausen"" leitet sich vom Rittermannsgut ""Adlhausen"" (bei Rottenburg an der Laaber) ab.

Biographische Hinweise (mit Fehlern: z.B. Fehlzuordnung des Stammsitzes der Familie ""Adlhausen"" zu einem ""Rottemburg an der Lahn"" mit [recte] Rottenburg an der Laaber etc.): Anneliese DRODTLOFF, Johann Christoph Pentenriedter Freiherr von Adelshausen (Diss. Wien 1964) 1-6.
Zur Familie siehe auch: Art. ""Pendterriedter von und zu Adelshausen, Freiherren, in: Adler, Jahrbuch 1 (1874) 137, http://opacplus.bsb-muenchen.de/title/4251506/ft/bsb11177398?page=231.

P. verkaut 1734 das Rittergut Adlhausen nachdem er bereits seit dem 28. Mai 1728 in den alten Ritterstand des Königreichs Böhmen aufgenommen worden war und die böhmische Landstandschaft erhalten hatte. 

Siehe auch Emma MAGES, Kelheim: Pfleggericht und Kastenvogtgericht – Historischer Atlas von Bayern, S. 197: https://books.google.at/books?id=Nh3hDwAAQBAJ&pg=PA197&dq=Pentenrieder+JOhann+KAspar&hl=de&sa=X&ved=2ahUKEwjdt-Gvop_1AhVug_0HHT7DAf8Q6AF6BAgGEAI#v=onepage&q=Pentenrieder%20JOhann%20KAspar&f=false

J.K.P. ist der Vetter von Johann Christoph P."
4689,"Ausführliche Biographie (mit Fehlern: z.B. Fehlzuordnung des Stammsitzes der Familie ""Adlhausen"" zu einem ""Rottemburg an der Lahn"" mit [recte] Rottenburg an der Laaber etc.): Anneliese DRODTLOFF, Johann Christoph Pentenriedter Freiherr von Adelshausen (Diss. Wien 1964).
Zur Familie siehe auch: Art. ""Pendterriedter von und zu Adelshausen, Freiherren, in: Adler, Jahrbuch 1 (1874) 137, http://opacplus.bsb-muenchen.de/title/4251506/ft/bsb11177398?page=231.

Seine Taufe fand am 19. Dezember 1677 in St. Stephan in Wien statt.
Kaiserlicher Diplomat bei den Friedensverhandlungen in Rastatt, Utrecht und Baden (1713/1714), Verhandler der Quadrupelallianz in London (1718), 1727 Ernennung zum wirklichen geheimen Rat, ksl. Botschafter bei den Friedenskongressen von Cambrai (1721-1725) und Soissons (1728), wo er 1728 verstarb. 

J.C.P. ist der Vetter von Johann Kaspar P."
10625,1721/01/09
10626,"Michael Diefenbacher u.a., Das Nürnberger Buchgewerbe (Nürnberg 2003) 663 u.ö."
10627,1721/01/09
2802,"Alternativer Nachname: Maderer. Bürgerlicher Händler. Merkantilprotokoll, fol. 607."
10631,1721/01/12 (= de Trevano)
36212,Holländer
10848,Gleichzeitig Bischof von Großwardein. https://de.wikipedia.org/wiki/Imre_Cs%C3%A1ky_(Kardinal)
6329,johann jacob hagl burgerl: apadekher zu wienn
12675,"Alternativer Vorname: Pierre.
Friedrich Schmidt, Die Entstehung der Neustadt Erlangen (...) (Erlangen 1912), 60, 64; ""Lista der Erlangischen Manufacturen und Kaufmannschaften"", 82."
10709,"id. mit Johann Jakob Kopp, Aschau ?"
10850,Huebmer
10853,Kerschhueber
30405,"Nachname unsicher. Siehe ""Bartholomäus Fenzl"" - beide kommen wahrscheinlich aus derselben Familie. Nachname vereinheitlichen."
10933,Siehe Martin Trager. Ident?
4855,"Esterlin kommt aus Regensburg. Staats-Relation derer neuesten Europäischen Nachrichten und Begebenheiten auf das Jahr 1748. ein historisches Journal (...), Regensburg 1748, S. 220. Schönfeld, Wirtschaftsgeschichte Regensburgs, S. 64f. Ausbildung in Venedig. Paritius, 1753, S. 137.
Fischer, Blaue Sensen, 178."
20459,"Es muss sich hierbei um Wirich Philipp Lorenz Graf von und zu Daun, seit 1710 Fürst von Teano (* 19. Oktober 1669 in Wien; † 30. Juli 1741 in Wien) handeln.
https://de.wikipedia.org/wiki/Wirich_Philipp_von_und_zu_Daun"
37957,"Vorname: ""Gioseppe/Giuseppe""."
10394,die innerbergerl: haubt gwerkhschafft der stachl und eisen handlung zu steyr
15294,"p. p. capucinern zu Waydhofen. Kapuziner waren in Waidhofen an der Ybbs und in Waidhofen an der Thaya ansässig.

Vgl. die Einträge in: Rudolf BÜTTNER, Art. Waidhofen an der Ybbs, in: Donauländer und Burgenland, hg. von Karl LECHNER (Handbuch der Historischen Stätten = Kröners Taschenausgabe 278, 2. Aufl., Stuttgart 1985) 598-602.
und
Herbert KNITTLER, Art. Waidhofen an der Thaya, in: Donauländer und Burgenland, hg. von Karl LECHNER (Handbuch der Historischen Stätten = Kröners Taschenausgabe 278, 2. Aufl., Stuttgart 1985) 596-598."
3274,"Gier, Buchdruck und Verlagswesen in Augsburg. Katholische Buchhändler und Verleger aus Augsburg. Siehe: https://www.wissner.com/stadtlexikon-augsburg/artikel/stadtlexikon/veith/5738"
7594,"Hafner, Freyungerstr. 20, Rauscher, Hafner, 235, dort ""Schweikhart""; Schwarzhafnermeister 1710-1747; Böhmer, Ilzer Hafner, 186-188, dort ""Schweikhardt""."
1579,"In der Literatur als ""Wolff"" bezeichnet. Werner Schwarz, Vom 'stimpelnden' Uhrmacher zum Kunstverleger: Jeremias Wolff und seine Nachfolger, in: Augsburger Buchdruck und Verlagswesen. Von den Anfängen bis zur Gegenwawrt, hg. von Helmut Gier–Johannes Janota (Wiesbaden 1997) 587–619.
Hs. 97 (1713), pag. 303: ""Walt"".
Zu Jeremias Wolff siehe auch: https://www.wissner.com/stadtlexikon-augsburg/artikel/stadtlexikon/wolff/5920 - Nachname daher auf ""Wolff"" geändert. Getrennt von anderen Familien ""Wolf"".
https://www.europeana.eu/portal/de/record/08568/dokumente_html_obj67102189.html
https://de.wikipedia.org/wiki/Jeremias_Wolff"
3537,"Franz M. Eybl, Konfession und Buchwesen. Augsburgs Druck- und Handelsmonopol für katholische Predigtliteratur, insbesondere im 18. Jahrhundert, in: Augsburger Buchdruck und Verlagswesen (...) 633-652."
39682,"Friedrich Karl Gullmann, Geschichte der Stadt Augsburg seit ihrer Entstehung bis zum Jahre 1806, Bd. 4 (Augsburg [1818]), 51."
11337,Imre Esterházy (1725-1751)
11392,Lesung Herkunft unsicher.
6454,"1719 auch als ""hochfürstlich salzburgischer Hofrat"" bezeichnet."
11433,"Name ist endeutig. Dennoch Kontrolle bezüglich ""Beneteti""."
1212,"In der Quelle nicht als jüdisch bezeichnet. Schlesinger kam wahrscheinlich aus dem sächsischen Schönheide oder Umgebung. Dies würde zu seiner Handelsware der ""Annaberger Spitze"" passen. Im 19. Jh. war in Schönheide eine Stick- und Spitzenmanufaktur namens ""C. A. Schlesinger"" ansässig. Ebenso eine Firma ""Adam Aschatz & Sohn"" (siehe in der DB ""Aschaz""). Die Personen namens Schlesinger, die mit ""Annaberger/Amberger Spitze"" auf der Donau handelten, waren wahrscheinlich keine Juden. Siehe George Sauer, Handbook of European Commerce. What to buy and where to buy it (...) (London 1876) 233."
4240,Familienname Quelle: Rick.
3858,Siehe Joseph Meidinger. Wahrscheinlich ident.
5918,Siehe Johann Wispointner. Ident?
11562,Evtl. Frau.
2370,Wahrscheinlich keine Frau.
22373,Quelle: Dobler.
11569,Lesung Nachname unsicher.
9864,Die Zuordnung zu Neuburg an der Donau ergibt sich aus der expliziten Nennung in HS 106 (1719) 322.
11672,Gemeint ist der 1726 verstorbene Reichshofrat Nikolaus Christph Lyncker: http://de.wikipedia.org/wiki/Nikolaus_Christoph_Lyncker
11686,Karl III. Philipp von der Pfalz?
1752,auch Graf Serau .p.
11727,"Die Lesung des Herkunftsortes ist eigentlich ""Noburg"". Hier ist es überhaupt fraglich, ob dies eine Verschreibung von Neuburg oder von Vohburg ist. In den Matriken von Vornbach (N. am Inn) kann eine Familie Riedlbacher nicht nachgewiesen werden kann."
14594,"Quelle: ""hrn. haubtman v. Waydhofen"". Evtl. Waidhofen a. d. Ybbs? 
Die Hauptleute von Waidhofen an der Ybbs waren freisingische Amtleute. In den Matriken von W.a.d.Y. ist ab 1717 ein ""Fugginger"" als freisingischer Hauptmann verzeichnet. Danach?"
22667,"Philipp Ludwig von Sinzendorf, Sohn des gleichnamigen ksl. (Ober)Hofkanzlers."
