ladungId,bemerkung
39497,"Ein transportiertes Gut (Weizen, Arbes, Hafer etc. ?) nicht genannt."
4077,Anzahl Laden unsicher: evtl. nur 1
89804,Rupfen nach Wien.
4086,Für den neuen Hochaltar.
4095,Name Quelle: Johann Bapt. Petall
4103,Nachname Quelle: Pichenini
4115,Nachname Quelle: Augusti
50486,"""gleich anderen Ohrten zalt"" "
57659,"Nachname Quelle: ""Berz"""
4220,Inhalt: 45 Eimer
4279,Baumaterial vom Kloster Schlägl für den abgebrannten Hof in Königstetten.
91085,"Dem Schema der AMP folgend, müsste ""Steffanegg"" ein Ortsname sein. Jedoch kann kein Ort St. in Niederösterreich identifiziert werden. Es ist daher auch nicht gänzlich auszuschließen, dass es sich in diesem Fall um einen Familiennamen ""zu Steffanegg/Steffaneck/Stefanek"" etc. handeln könnte!"
4365,Gewichtsangabe ergänzt.
6188,"Nachname Quelle: ""Börtl""."
6033,Der Passbrief umfasste insgesamt 300 Stück.
4442,Gebühr berechnet.
4493,Auf das von Kaiserstein erworbene Landgut Kleeberg in Bayern.
4524,Zum Wiederaufbau der abgebrannten Kirche und des Pfarrhofs von Alkoven. Mautbefreiung auf Ansuchen des Abts.
4588,Jährliche Stiftung
221256,Zur ksl. Armee.
221304,"Nachname Quelle: ""Willoreth""."
89988,Gebühr berechnet.
4732,"Kein Maß angegeben, wahrscheinich Eimer."
4763,Für den Bau der St. Josephs-Säule am Hohen Markt in Wien.
4853,Keine Ware angegeben: Evtl. Röte.
4884,"""mött in klainen vößln""."
4885,Mött in klainene vößln
4938,Volumen des Fasses: 100 Eimer
175077,"Quelle: ""dem gn. hr. zu Grueb""."
57664,"Nachname Quelle: ""Berz"""
5112,Holz zur Hausnotdurft.
5143,Für den Bau des Klosters.
5161,Für den Hochaltar.
5179,Gebühr des Silbers berechnet.
5192,Ware Quelle: Zahlgschier.
90316,Gebühr berechnet.
212743,"Nachname Quelle: ""Rüdet""."
5358,Für das abgebrannte Schloss in Steyr
5364,Zur Auspflasterung von ksl. Hofkammer und Bibliothek.
5370,Der Hafer stammt von der Herrschaft Neuhaus.
5373,Für die St. Josephs-Säule am Hohen Markt in Wien.
5392,Gebühren unsicher
5393,Gebühren unsicher
90302,1/2 Dutzend Krausen per 1/2 Pfund
5461,Für den Hochaltar
5499,Vom hiesigen herrschaftlichen Getreidekasten zur eigenen Notdurft des Grafen nach Wien.
18158,Quelle: Herrnberger und Geiger.
5628,Das Geld wurde von Mailand nach Wien transportiert.
47708,Für den Eigenbedarf.
242150,Der Passbrief umfasste insgesamt 40 Zentner Stockfisch.
5676,Dem abgebrannten Frauenkloster in Steyr.
5690,Gebinde: Kistlein
5697,Der Passbrief umfasste insgesamt 200 Flinten und 300 Paar Pistolen.
91890,Der Hafer wurde von Strohhammer gekauft.
102392,Von der vorjährigen Lese in Niederösterreich.
5817,"Bodenladen: Keine Einheit angegeben, wahrscheinlich Pfund."
5834,Ware ergänzt.
5864,Lämpl ist als Bürger von Aschach mautbefreit.
5888,Transport von Landshaag aus.
6004,"Peter hier als ""Piere""."
6032,"Hier der Vorname ""Stephan"" (=identisch mit Estienne/Etienne)."
251678,Lesung Transportgut unsicher.
6215,Gebühr berechnet.
7098,Der Passbrief umfasste auch 12 Zentner Juchten.
6867,"Nachname Quelle: ""Colle""."
247543,auf ansuchen frey passiert.
91780,Gebühr berechnet.
91781,Gebühr berechnet.
6233,Zur Auspflasterung ihrer Kirche.
6859,Der Passbrief umfasste insgesamt 1000 Zentner Blei.
91671,zur Herrschaft Bruck
91674,so Ihro Excell. Herren General Harrach gehörig
47671,Gewicht der Wagenschmiere: 1/2 Zentner. Die Gebühr dafür beträgt normalerweise 8 d.
47669,Für den Eigenbedarf.
6868,Nachname Quelle: Hubert.
47642,Zum Wiederaufbau des vor Jahren abgebrannten Klosters.
6539,Aus dem hiesigen [Aschacher] Hofgarten nach Wien.
6561,Zur Eindeckung des Klosters.
6651,Aus den eigenen Weingärten des Klosters in Niederösterreich.
247043,9 paar auf jeden Zentner gerechnet
114433,Gebühr berechnet.
207210,Gebühr berechnet.
6802,Zum Eindecken des im Vorjahr abgebrannten Frauenklosters und dessen Kirche.
6828,Zum Bau der Josephssäule am Hohen Markt in Wien
6829,wenig Futterhafer
6831,"Der Passbrief umfasste insgesamt 500 Zentner Kupfer, die Rauner und Minich zum Verschleiß im Reich übergeben wurden."
91285,Lieferung in die Behausung Harrachs.
47558,Für den Bau der (Salesianierinnen) Klosterkirche.
7617,Gebühren Reis und Schmalz errechnet.
47556,Der Passbrief umfasste insgesamt 700 Stück Flinten und 700 Bajonette.
66723,Für den Bau der St. Josephs-Säule.
7024,Für den Hochaltar des Stifts Klosterneuburg
47554,Der Passbrief umfasste insgesamt 540 Karabiner und 540 Paar Pistolen.
39411,"Die Einheit ""Pfund"" wurde ergänzt. (AS)"
91459,Niederlage in Aschach.
56338,Gewicht: 4 Pfund.
7177,Zum Verkauf.
7194,Eigenes Gut.
8180,Der Passbrief umfasste insgesamt 150 Karabiner und 200 Paar Pistolen.
7215,Für das Schlossgebäude in Altenburg.
47553,Der Passbrief umfasste insgesamt 350 Karabiner und 350 Paar Pistolen.
47508,Diese 27 Mut Weizen wurden 1726 donauaufwärts geführt und vermautet und waren als schon vermautetes Gut mautfrei.
39427,"Diese Ladung wurde auf fol. 272 nachträglich hinzugefügt mit folgenden Worten: ""auf obige Scheibenpogens gschmeidtfuhr seindt alhier angelegt worden (...)."""
8179,Der Passbrief umfasste insgesamt 200 Flinten und 300 Paar Pistolen.
7582,"Krämerei: Bleiweiß, Anis, Fenchel, Süßholz, Gummi und dergleichen gemeine Waren."
63322,Transportgut in der Quelle nicht angegeben.
247714,Von Altenhof herauf. 
247755,"Die Ware wurde bereits stromabwärts vermautet, weshalb nur die Hälfte der Gebühr fällig war."
47311,11 Mut Kalk im Wert von 110 Gulden.
47268,Von der Herrschaft Altenhof nach Linz.
47264,Der Passbrief umfasste insgesamt 917 Stück Feuergewehre und 97 Paar Pistolen.
91638,Wein in Bouteillen.
47152,Zur Auspflasterung der Kirche.
47117,"Über Zizlau nach Schwanenstadt, wohin die Tochter des Herrn Strohhammer heiratet."
47040,"Nachname Quelle: ""Stubner""."
46669,"Rest einer größeren Menge Getreide, die nach Passau geschifft und in Aschach vermautet worden war, der nun mautfrei passiert."
46858,Der Passbrief umfasste insgesamt 1292 Karabiner und 1292 Paar Pistolen.
39437,In der Quelle keine Ware angegeben.
39473,Zur Auspflasterung der Kirche.
46769,Zum Verkauf nach Linz.
46758,Zur Eindeckung des neugebauten Turms.
46711,Zum Bau des Kirchturms.
8160,Quelle: Einheit bei Tee nicht angegeben.
8220,Zur Pflasterung des Schlosses Ottensheim.
8225,Für das Gartengebäude des Prinzen in Wien.
8259,"Gebinde: ""küstlein"""
8267,Zum Bau der Kirche.
8479,Der Passbrief umfasste insgesamt 235 Karabiner und 238 Paar Pistolen.
8478,Der Passbrief umfasste insgesamt 228 Karabiner und 228 Paar Pistolen.
8364,In Kampmillers Gut nach Langhalsen.
8498,Bürger von Aschach
8517,Für einen Hochaltar und Lavor.
46698,Die Gebühr bezieht sich auf das Papier und die Lebkuchen.
46605,Für den Eigenbedarf.
238993,Der Branntwein wurde in Aschach gekauft.
46602,Der Passbrief umfasste insgesamt 540 Stück Karabiner und 240 Paar Pistolen.
46523,Zur Reparatur der Dachstühle des Landhauses und anderer landschaftlicher Gebäude.
239093,Wein der diesjährigen Lese.
210684,"Nachname Quelle: ""Antogrozo""."
8637,Für die heurige Weinlese.
46377,Zur Auspflasterung der Kirche und des Klosters.
46363,Für den neuen Hochaltar.
46243,Von der Fabris zu Langhalsen.
46235,Gewicht des Kelchs: 2 Mark.
46195,In Neuburg am Inn gekauftes Holz.
46170,Der Passbrief umfasste insgesamt 350 Karabiner und 350 Paar Pistolen.
46169,"Der Passbrief umfasste insgesamt 1000 Flinten, 2000 Bajonette und 60 Paar Pistolen."
46168,Der Passbrief umfasste insgesamt 900 Flinten.
8744,Für die St. Josephs-Säule am Hohen Markt.
8762,Für die ksl. Artilleriegießerei.
46167,Der Passbrief umfasste insgesamt 700 Stück Flinten und 700 Bajonette.
46160,"1 Buch ""das leben der heyligen""."
106635,"Die Ware ging zurück, weshalb nur die Hälfte der Mautgebühr fällig war."
8781,Für einen Hochaltar.
245902,Der Passbrief umfasste insgesamt 300 Zentner Kupfer. Weitertransport ins Heilige Römische Reich.
46024,Für den Jahrmarkt in Aschach.
238730,Der Passbrief umfasste insgesamt 300 Lägel. Transport auf eigene Rechnung über Steyr und Regensburg.
46017,Wein von der vorjährigen Lese.
114301,Der Passbrief lautet auf 4.000 Zentner Mehl.
114303,Der Passbrief belief sich auf insgesamt 6000 Zentner Mehl oder dementsprechendes Getreide. Gebühr berechnet.
8816,Lesung Gebühr unsicher
238749,Der Passbrief belief sich auf insgesamt 200 Yhrn Wein und 6 Verschläge Früchte.
210704,"Nachname Quelle: ""Kiebel""."
45881,ainem pastoral per 18 Pfund
45874,"""zu dero pau notwendigkheit"""
45862,Für die Auspflasterung der Kirche.
45908,Gebühr z. T. berechnet.
45750,"Von der Herrschaft Altenhof zur ""wittiblichen Unterhaltung""."
45738,"Der Passbrief umfasste insgesamt 2118 Bajonette, 1000 Flinten und 60 Paar Pistolen."
8926,"Einheit wohl Pfund, nichts angegeben."
8956,Am Linzer Markt eingekauft.
9005,Für den Bau des Schlosses.
106572,Für einen Altar
9028,seidenzeug mit wenig Silber vermengt
238839,Transport von Altenhof nach Linz.
9078,Zum Verkauf.
9083,"Zurückgehende und bereits vermautete Ware, daher nur die Hälfte des Mautsatzes berechnet"
9119,Gebühren (insg. 2 fl. 3 ß 14 d.) errechnet.
45591,"Von Mariazell nach Augsburg zur Umarbeitung und Anfertigung eines Altars gebrachtes Silber, das nun wieder zurück nach Mariazell gebracht wird."
45588,Für den Hochaltar und ein Lavor (Waschbecken).
225334,"Nachname Quelle: ""Bennenuti""."
224517,"Nachname Quelle: ""Haitner""."
9195,"Für das abgebrannte Frauenkloster. Gemeint ist das Kloster der ""Augustinerinnen von der Verkündigung Mariens"" (""Annuntiaten und Cölestinerinnen""), das 1727 abbrannte."
45488,Zum Bau eines neuen Getreidekastens. Herkunft der Ziegel: Regensburg. Teillieferung (Gesamtumfang: 50.000 Ziegel).
45445,Für den Klosterbau.
9215,Für das Gut des Klosters in Niederösterreich.
9226,Von Ulm aus geht die Ladung weiter nach Paris.
225339,"Interpretation ""Bastware"" unsicher. Quelle: ""pafel wahr""."
45349,"Quelle: ""8 fricht pauml in gschirrn"""
45327,Zum Färben nach Linz.
80755,In Aschach gefärbt und angelegt.
9393,Der Passbrief umfasste insgesamt 400 Karabiner und 450 Paar Pistolen.
45296,"Der Passbrief umfasste insgesamt 200 Pferde, die von Schindlperger auf die bestimmten Assentierungsplätze abgeführt wurden."
45235,Der Passbrief umfasste insgesamt 540 Flinten mit Bajonett und 540 Paar Pistolen.
223529,Zum Verkauf in Wien. Der Passbrief umfasste insgesamt 400 Münchner Scheffel Hafer.
92519,"In die (Priesterseminar)Kirche nach Linz:
https://de.wikipedia.org/wiki/Priesterseminarkirche_(Linz)"
45233,Der Passbrief umfasste insgesamt 480 Flinten und 480 Paar Pistolen.
9470,Von der Zizlau aus.
45232,Der Passbrief umfasste insgesamt 362 Flinten und 362 Paar Pistolen.
9530,Heuer in Schönering und Prambachkirchen geerntetes Dienstgetreide.
45503,"Nachname Quelle: ""Weyman""."
45097,Zur Aufpflasterung ihres Klosters.
45066,Am Linzer Markt eingekauft.
45057,"1 ""ganzen haußrath"""
9587,"Die Ware ging zurück, daher waren nur 50 Prozent der Mautgebühr fällig."
45015,Zur Notdurft der Hofstatt. Der Passbrief belief sich auf insgesamt 1500 Mark Silber.
39157,Zum Färben nach Linz.
57057,Zwischenzeitlich mautfrei passiert. Die Mautgebühr wird bei solchen Lieferungen z. T. nachträglich bezahlt.
45007,"Hafner ""sambt ihren truchen""."
59151,Die Güter durften zwischenzeitlich mautfrei passieren. Zu einem späteren Zeitpunkt wurde evtl. die Mautgebühr nachgefordert.
44970,Für das Klostergebäude.
9657,Bau- und Zehentwein des Vorjahres aus Niederösterreich.
92149,Gestrichen: 1/4 Zentner fabrizierte Silberware.
168662,"Nachname Quelle: ""Schüssl""."
257847,Wein der diesjährigen Lese.
44836,Der Vorname ist ergänzt.
44835,Der Vorname ist ergänzt.
44834,Der Vorname ist ergänzt.
44833,Der Vorname ist ergänzt.
44801,"Einheit ""Zentner"" ergänzt."
44720,"Gewicht: 7 Zentner, 26 Pfund."
44700,Wert: 50 fl.
250556,zur Reparatur seines Hauses und seiner Weingärten in Tulln
250844,"Transportgut Quelle: ""erdwerkh und holzwahr""."
9757,"Quelle: ""230 st. halbe viertl norder:tuech"""
250625,Transport über Steyr und Regensburg nach Holland.
166815,"Empfänger Quelle: ""zum Jung. regt."""
44403,"Gewicht 2,5 Pfund"
44500,Nachname Quelle: Gäber
44402,In der Quelle keine Einheit angegeben: Evtl. Pfund.
44184,Der Transport geht von Landshaag weg. Das Brauhaus in Landshaag gehört zum Kloster Niedernburg.
55608,"Nachname Quelle: ""Rööck""."
8034,"Nachname Quelle: ""Arsaldini""."
9826,In der Quelle ist kein Transportgut angegeben; Ware ergänzt.
9868,"Transportgut Quelle: ""kürschner""."
9871,Maut berechnet.
208392,Für den Kirchenbau.
10002,Für das Gartengebäude des Prinzen.
208769,"Einheit ""Zentner"" ergänzt."
135215,"""pr. scheffmaister und sambentlichen knechten""."
209464,Vom Passauer Offizialamt an den Wallfahrtsort Maria Taferl.
112695,"8 Stück Tuch, die in Linz umgefärbt wurden."
10176,Transportgut in der Quelle nicht genannt.
112825,Gebühr berechnet.
10533,Gebühr berechnet.
208593,Wahrscheinlich haben diese den Zielort Linz.
10601,Gebühr berechnet.
10764,Der Hafer wurde in Landshaag angeschüttet.
39791,Ein Zentner zu neun Paar.
44085,Für das Brauhaus des Klosters Niedernburg in Landhaag.
10935,Für das abgebrannte Schloss.
10950,Zur Reparatur des Klosters Pulgarn
57600,"Die Ware durfte ""interim"" mautfrei passieren. Evtl. wurde später die fällige Gebühr eingehoben."
246506,60 Zentner und 65 Pfund Messing und Glockenspeise.
246619,"Nachname Quelle: ""Altstötter""."
250461,Laut Passbrief von Erzherzog Leopold Wilhelm vom 12.4.1652
246533,Gütertransport zum Linzer Bartholomäi-Markt.
11114,Weinreste unterschiedlicher Jahrgänge aus Niederösterreich.
11356,Die Waren stammen von Aschacher Fleischhackern.
11121,Zur Kirchennotdurft.
11145,Der Wein war in Aschach gesammelt worden.
40105,Der Passbrief umfasst insgesamt 60 Eimer Wein.
117661,"Wahrscheinlich handelt es sich bei diesem Eintrag um eine Duplette, da er sich vom folgenden Eintrag nur in der Nennung des Namens unterscheidet."
125176,"Quelle: ""in das closter nach Lanzendorf""."
43707,Zahlt zu Aschach so viel wie zu Passau.
43628,"Transportgut ""Wein"" ergänzt."
43608,In Kommission.
43566,Wert der Schweindel: 4 fl.
11379,"Unsicher, ob die Ladung zu diesem Fahrzeug gehört, oder ob ein Fahrzeug vom Mautschreiber vergessen wurde."
205695,Evtl. handelte es sich bei den Kaufleuten um Passagiere nach Wien.
247807,"Nachname Quelle: ""Bussi""."
109229,Von der diesjährigen Lese in Niederösterreich.
43500,Wein als Transport ergänzt.
250352,Für den Kirchenbau.
11413,Vom Brauhaus Landshaag.
109003,"Nachname Quelle: ""Reisser""."
11460,Zum Bau des Klosters.
43462,Für die Anfertigung von Patronentaschen.
43461,Der Passbrief umfasste insgesamt 10-12 Fass.
43444,Keine Ware angegeben.
43315,Für den Bau der St. Josephs-Säule in Wien.
11583,Für die Deckung des im Vorjahr abgebrannten Klosters.
11586,Für die St. Josephs-Säule am Hohen Markt in Wien.
11617,Familienname Quelle: Bossa
11635,Zum hiesigen Jahrmarkt.
11637,"Ledererlohe Quelle nur: ""loo""."
40225,"Die bereits donauabwärts vermautete Ware ging zurück, weshalb nur die Hälfte der Mautgebühr fällig war."
11909,Volumen des Wein: 1 Eimer.
112996,"Von einem ""Guttäter"" als ""Heiliges Almosen""."
43263,"Pachner ist hier ausdrücklich als ""Schiffmeister"" bezeichnet, der mit der Lieferung der Flinten in Kommission nach Ulm beauftragt ist."
57677,Der Passbrief umfasste insgesamt 500 Zentner Blei.
12018,Herkunft: Innsbruck
250304,"Die Zuordnung ""Berg in Unter Oester."" zu Perg (Oberösterreich) ist korrekt. Vgl. den Eintrag in https://de.wikipedia.org/wiki/Stadtpfarrkirche_Perg zum auch hier erwähnten Brand (1708) und der Lieferung von 14.000 Dachziegel aus Passau."
43231,Ein Zentner zu 9 Paar gerechnet.
43228,Ein Zentner zu 9 Paar gerechnet.
122103,Von Rannariedl nach Linz.
122468,Wein von der heurigen Lese.
250283,Vornamen ergänzt.
250260,"Die Bücher gingen zurück, weshalb nur die Hälfte der Gebühr fällig war."
246558,"Nachname Quelle: ""Minler"" [?]."
42882,Lesung Gebinde unsicher.
246553,Zur Weinlese.
42674,Aussteller des Passbriefs war die Orientalische Kompanie.
42632,Zur Auspflasterung der Kirche.
42543,"Einheit ""Pfund"" ergänzt."
250855,Gesamtwert inkl. 1 Päckel Spritzen: 10 1/2 fl.; Gesamtgebühr: 1 ß 12 d.
42221,Für den Bau eines Altars.
92384,Der Futterhafer diente den Zugpferden.
92350,Auf jeden Zentner entfallen neun Paar Juchten.
92383,Die Fässel befinden sich in einem Korb.
42091,Die Rupfen wurden in Aschach gefärbt.
12309,"""zu dem gnaden orth Maria täferl"""
42012,"Transportgut ergänzt, in der Quelle nicht angegeben."
12335,Nachname Quelle: Adenei.
12349,Wein aus der heurigen Lese in Niederösterreich.
12353,"""3 floss lähr an Pauholzen"""
41853,Das Silber war vom Kaiser zum Umarbeiten nach Augsburg geschickt worden und kam nun wieder zurück.
41806,"""Zentner"" bei Eisenware ergänzt."
40275,Im Vorjahr gelesener Bauwein aus Niederösterreich.
108403,Von der diesjährigen Lese in Niederösterreich.
41761,Der Passbrief umfasste insgesamt 2600 Metzen Gerste zur Aussaat im Banat.
249748,"Für das in venezianischen Kriegsdiensten stehende ""teütsch lothring. regiment als vor 888 mann""."
249284,"Familienname Quelle: ""Khormosser""."
12654,Wein der heurigen Lese.
41721,Passbrief umfasste insgesamt 300 Riss allerlei Papiersorten.
12713,Von der Zizlau aus.
12743,Wahrscheinlich fährt dieses Fahrzeug einem Schiffzeug flussaufwärts entgegen.
92682,Transport von Neuhaus aus donauabwärts.
12735,Einheit bei Waldrauch nicht angegeben
12738,"Quelle Waldrauch nur: ""Rauchen"""
12749,Wein der heurigen Lese in Niederösterreich.
12750,Wein der heurigen Lese in Niederösterreich.
56923,"Person Quelle: ""Hrrn. Erzbischoffen v. Valenzia Grafen v. Hardick"". Fehler des Schreibers? Gemeint sein dürfte Antonio Folch de Cardona, Präsident des Spanischen Rats am Kaiserhof."
262980,Transport von Gmunden nach Passau.
249321,Gebinde unsicher.
249763,Weitertransport von Wien nach Brünn in Mähren.
12805,Von der heurigen Lese in Niederösterreich.
12806,Von der heurigen Lese.
12807,Von der heurigen Lese.
12907,Das Fahrzeug fuhr wahrscheinlich einem Schiffzug entgegen.
41658,"""1 pletl mit ainer truchen und böttgwandt nacher Neuhauß"""
41657,"""mit ainer truchen und böttgwandt nacher Neuhauß"""
249903,Name teilweise ergänzt.
12922,Von der heurigen Lese in Niederösterreich.
13318,"Der Nachname, der mit der Warenbezeichnung identisch ist, ist höchstwahrscheinlich in der Quelle fehlerhaft angegeben."
12984,Ein Teil des heuer in Niederösterreich gelesenen Weins.
96390,"Nachname Quelle: ""Kazger""."
13022,Für den Hochaltar
41559,Wein von der vorjährigen Lese in Niederösterreich.
13038,Lesung Gebühr unsicher
41437,Im Vorjahr gelesener Wein.
41556,Zuordnung der Ladung zur Person unsicher.
249551,Gebühr z.T. berechnet.
42035,Gebühr berechnet.
